wreck_num,wreck_name,wdpa_gid,wdpa_name
771.0,Site 11,164292,Mid-Atlantic Coastal Waters Area
772.0,"NA",164296,Southern Mid-Atlantic Waters
772.0,"NA",164297,Southern Nearshore
772.0,"NA",164292,Mid-Atlantic Coastal Waters Area
773.0,"NA",164296,Southern Mid-Atlantic Waters
773.0,"NA",164297,Southern Nearshore
773.0,"NA",164292,Mid-Atlantic Coastal Waters Area
774.0,"NA",164296,Southern Mid-Atlantic Waters
774.0,"NA",164297,Southern Nearshore
774.0,"NA",164292,Mid-Atlantic Coastal Waters Area
775.0,"NA",164296,Southern Mid-Atlantic Waters
775.0,"NA",164297,Southern Nearshore
775.0,"NA",164292,Mid-Atlantic Coastal Waters Area
776.0,"NA",164296,Southern Mid-Atlantic Waters
776.0,"NA",164297,Southern Nearshore
776.0,"NA",164292,Mid-Atlantic Coastal Waters Area
777.0,"NA",164296,Southern Mid-Atlantic Waters
777.0,"NA",164297,Southern Nearshore
777.0,"NA",164292,Mid-Atlantic Coastal Waters Area
778.0,P3,164168,Waters off New Jersey
778.0,P3,164297,Southern Nearshore
778.0,P3,164292,Mid-Atlantic Coastal Waters Area
779.0,Dolphin,164168,Waters off New Jersey
779.0,Dolphin,164297,Southern Nearshore
779.0,Dolphin,164292,Mid-Atlantic Coastal Waters Area
780.0,Margie Ann,164296,Southern Mid-Atlantic Waters
780.0,Margie Ann,164297,Southern Nearshore
780.0,Margie Ann,164292,Mid-Atlantic Coastal Waters Area
781.0,Yon 80,164296,Southern Mid-Atlantic Waters
781.0,Yon 80,164297,Southern Nearshore
781.0,Yon 80,164292,Mid-Atlantic Coastal Waters Area
782.0,Margaret,164296,Southern Mid-Atlantic Waters
782.0,Margaret,164297,Southern Nearshore
782.0,Margaret,164292,Mid-Atlantic Coastal Waters Area
783.0,William C. Snow,164296,Southern Mid-Atlantic Waters
783.0,William C. Snow,164297,Southern Nearshore
783.0,William C. Snow,164292,Mid-Atlantic Coastal Waters Area
784.0,Fels Points,164296,Southern Mid-Atlantic Waters
784.0,Fels Points,164297,Southern Nearshore
784.0,Fels Points,164292,Mid-Atlantic Coastal Waters Area
785.0,Cittie Point,164296,Southern Mid-Atlantic Waters
785.0,Cittie Point,164297,Southern Nearshore
785.0,Cittie Point,164292,Mid-Atlantic Coastal Waters Area
786.0,Golden Eagle,164168,Waters off New Jersey
786.0,Golden Eagle,164297,Southern Nearshore
786.0,Golden Eagle,164292,Mid-Atlantic Coastal Waters Area
787.0,Delilah,164296,Southern Mid-Atlantic Waters
787.0,Delilah,164297,Southern Nearshore
787.0,Delilah,164292,Mid-Atlantic Coastal Waters Area
788.0,YC 1479,164296,Southern Mid-Atlantic Waters
788.0,YC 1479,164297,Southern Nearshore
788.0,YC 1479,164292,Mid-Atlantic Coastal Waters Area
789.0,Buchannon,164168,Waters off New Jersey
789.0,Buchannon,164297,Southern Nearshore
789.0,Buchannon,164292,Mid-Atlantic Coastal Waters Area
790.0,Gregory Poole,164296,Southern Mid-Atlantic Waters
790.0,Gregory Poole,164297,Southern Nearshore
790.0,Gregory Poole,164292,Mid-Atlantic Coastal Waters Area
791.0,Mr.G,164296,Southern Mid-Atlantic Waters
791.0,Mr.G,164297,Southern Nearshore
791.0,Mr.G,164292,Mid-Atlantic Coastal Waters Area
792.0,Rusty Pusher,164296,Southern Mid-Atlantic Waters
792.0,Rusty Pusher,164297,Southern Nearshore
792.0,Rusty Pusher,164292,Mid-Atlantic Coastal Waters Area
793.0,Bay Tide,164296,Southern Mid-Atlantic Waters
793.0,Bay Tide,164297,Southern Nearshore
793.0,Bay Tide,164292,Mid-Atlantic Coastal Waters Area
794.0,Crazy Horse,164296,Southern Mid-Atlantic Waters
794.0,Crazy Horse,164297,Southern Nearshore
794.0,Crazy Horse,164292,Mid-Atlantic Coastal Waters Area
795.0,YC-725a,164296,Southern Mid-Atlantic Waters
795.0,YC-725a,164297,Southern Nearshore
795.0,YC-725a,164292,Mid-Atlantic Coastal Waters Area
796.0,Frieda Marie,164296,Southern Mid-Atlantic Waters
796.0,Frieda Marie,164297,Southern Nearshore
796.0,Frieda Marie,164292,Mid-Atlantic Coastal Waters Area
797.0,Sandy Point,164296,Southern Mid-Atlantic Waters
797.0,Sandy Point,164297,Southern Nearshore
797.0,Sandy Point,164292,Mid-Atlantic Coastal Waters Area
798.0,Unnamed,164296,Southern Mid-Atlantic Waters
798.0,Unnamed,164297,Southern Nearshore
798.0,Unnamed,164292,Mid-Atlantic Coastal Waters Area
799.0,Atlantic Mist,164296,Southern Mid-Atlantic Waters
799.0,Atlantic Mist,164297,Southern Nearshore
799.0,Atlantic Mist,164292,Mid-Atlantic Coastal Waters Area
800.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
800.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
800.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
801.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
801.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
801.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
802.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
802.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
802.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
803.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
803.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
803.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
804.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
804.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
804.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
805.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
805.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
805.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
806.0,Del-Jersey-Land Inshore Site,164296,Southern Mid-Atlantic Waters
806.0,Del-Jersey-Land Inshore Site,164297,Southern Nearshore
806.0,Del-Jersey-Land Inshore Site,164292,Mid-Atlantic Coastal Waters Area
937.0,Dan Barge,164067,St. Andrews
